,id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365
0,2539,clean quiet apt home park,2787,john,1,kensington,40.64749,-73.97237,1,149,1,9,0.21,6,365
1,2595,skylit midtown castle,2845,jennifer,2,midtown,40.75362,-73.98377,0,225,1,45,0.38,2,355
2,3647,village harlemnew york,4632,elisabeth,2,harlem,40.80902,-73.9419,1,150,3,0,0.0,1,365
4,5022,entire apt spacious studioloft central park,7192,laura,2,east harlem,40.79851,-73.94399,0,80,10,9,0.1,1,0
10,5295,beautiful 1br upper west side,7702,lena,2,upper west side,40.80316,-73.96545,0,135,5,53,0.43,1,6
18,7726,hip historic brownstone apartment backyard,20950,adam and charity,1,crown heights,40.67592,-73.94694,0,99,3,53,4.44,1,21
19,7750,huge 2 br upper east cental park,17985,sing,2,east harlem,40.79685,-73.94872,0,190,7,0,0.0,2,249
20,7801,sweet spacious brooklyn loft,21207,chaya,1,williamsburg,40.71842,-73.95718,0,299,3,9,0.07,1,0
22,8025,cbg helps haiti room25,22486,lisel,1,park slope,40.67989,-73.97798,1,80,1,39,0.37,6,364
23,8110,cbg helps haiti rm 2,22486,lisel,1,park slope,40.68001,-73.97865,1,110,2,71,0.61,6,304
25,8505,sunny bedroom across prospect park,25326,gregory,1,windsor terrace,40.65599,-73.97519,1,60,1,19,1.37,2,85
26,8700,magnifique suite au n de manhattan vue cloitres,26394,claude & sophie,2,inwood,40.86754,-73.92639,1,80,4,0,0.0,1,0
27,9357,midtown piedaterre,30193,tommi,2,hell's kitchen,40.76715,-73.98533,0,150,10,58,0.49,1,75
38,11943,country space city,45445,harriet,1,flatbush,40.63702,-73.96327,1,150,1,0,0.0,1,365
41,12299,beautiful sunny park slope brooklyn,47610,abdul,1,south slope,40.66278,-73.97966,0,120,3,15,0.39,1,345
42,12303,1bdr w private bath lofty apt,47618,yolande,1,fort greene,40.69673,-73.97584,1,120,7,25,0.23,1,311
47,12940,charming brownstone 3 near pratt,50148,adreinne,1,bedford-stuyvesant,40.68111,-73.95591,0,110,7,61,0.52,1,265
48,13050,bright stylish duplex,50846,jennifer,1,bedford-stuyvesant,40.68554,-73.9409,0,115,3,11,0.1,1,0
54,14322,beautiful apartment manhattan,56284,francesca,2,kips bay,40.73961,-73.98074,0,200,7,19,0.22,1,257
56,14991,great location manhattan bedroom,59023,bianca,2,lower east side,40.72004,-73.99104,1,110,5,19,0.17,1,301
60,15385,very cozy place,60252,cristina,1,williamsburg,40.71185,-73.96204,1,80,2,42,0.38,1,263
62,15711,2 bedroom upper east sidegreat kids,61491,d,2,upper east side,40.77065,-73.95269,0,250,2,66,0.57,2,231
64,16338,double room w private deck clinton hill best area,63613,patricia,1,clinton hill,40.69,-73.96788,1,55,7,27,0.23,2,292
66,16458,lightfilled 2b duplex heart park slope,64056,sara,1,park slope,40.67343,-73.98338,0,225,3,4,0.16,1,0
71,17037,lovely ev artists home,66035,anna,2,east village,40.72162,-73.98008,0,230,9,49,0.43,1,116
72,17092,cool room hells kitchen,66243,enzo,2,hell's kitchen,40.76342,-73.98865,1,51,7,23,0.43,1,88
73,17693,harlem new york welcomes you,68428,tye and etienne,2,washington heights,40.83139,-73.94095,1,65,2,49,1.6,2,336
75,18127,charming east village one bedroom flat,69829,josh,2,east village,40.72828,-73.98801,0,190,5,21,0.2,1,224
80,18764,cozy 2 br williamsburg,72014,lulú,1,williamsburg,40.71154,-73.96112,1,145,3,61,0.54,4,238
82,19169,entire 2 bedroom large sunny,73128,jolynn,2,lower east side,40.71851,-73.98892,0,285,5,70,0.62,1,328
83,19282,sunny spacious top floor,73469,gaia,1,flatbush,40.65401,-73.96323,0,130,6,16,0.15,1,38
86,19812,2 bedroom williamsburg apt bedford l stop,74857,starlee,1,williamsburg,40.71833,-73.95748,0,105,3,61,0.53,1,272
88,20300,great location nyc,76627,pas,2,east village,40.72912,-73.98057,1,50,1,2,0.05,1,0
90,20724,sunny roompvte office huge loft,961342,augustin,1,bushwick,40.70032,-73.9383,1,65,4,24,0.28,1,317
92,20755,large parlor room landmark home 1 block pratt,51038,erica,1,clinton hill,40.68634,-73.966,1,98,7,16,0.2,6,185
93,20853,2bed brownstone duplex garden,79070,tracy,1,prospect heights,40.68035,-73.97162,0,250,7,21,0.3,1,158
97,21644,upper manhattan new york,82685,elliott,2,harlem,40.82803,-73.94731,1,89,1,1,0.11,1,365
100,22918,loft bed near transportation15min times sq,32294,ssameer or trip,2,harlem,40.82279,-73.95139,1,60,3,11,0.87,3,219
102,23501,monkey retreat manhattan,63318,meka,2,washington heights,40.83927,-73.94281,1,65,2,68,0.6,1,312
111,26520,cozy room 3 landmark home 1 block pratt,51038,erica,1,clinton hill,40.68698,-73.96572,1,125,2,19,0.2,6,250
112,26559,beautiful apartment east village,112793,sally,2,east village,40.7288,-73.98192,0,140,7,12,0.13,1,164
115,26954,nyc fabulous views manhattans eye,115157,nimo,2,kips bay,40.74294,-73.98009,0,199,5,38,0.38,1,260
117,27006,comfortable uws 2bd familyfriendly brownstone,115560,stacy,2,upper west side,40.77823,-73.97637,0,235,6,27,0.27,1,199
122,27759,apartment next central park,119900,sylvie,2,upper west side,40.77842,-73.97556,0,170,7,13,0.12,1,224
123,27883,east village sanctuary,120223,jen,2,east village,40.72245,-73.98527,0,100,4,25,0.23,1,0
124,28321,large 1 br 3 br brooklyn apt next q trn,65091,kay,1,prospect-lefferts gardens,40.65593,-73.96053,1,75,2,9,0.08,1,324
125,28396,modern apt spectacular views,6197784,jo,1,williamsburg,40.71923,-73.96468,1,90,1,9,0.08,1,245
126,28907,garden studio upper east sid,124352,lisa,2,upper east side,40.778,-73.94822,0,150,5,21,0.19,1,189
128,29013,b b room 1,35935,angela,1,bedford-stuyvesant,40.68332,-73.9547,1,70,3,63,0.58,2,310
133,30927,unique charming small 1br apt les,120335,cs,2,lower east side,40.71341,-73.98856,0,105,3,32,0.29,1,16
134,31130,central location,117287,lara,2,hell's kitchen,40.76754,-73.98399,1,130,2,50,0.45,3,234
136,31902,sanctuary east flatbush,137292,sunder,1,flatlands,40.63188,-73.93248,1,77,2,2,0.02,1,178
141,32289,sundrenched artsy modernist 1 bdrm duplex,139612,elisabeth,1,williamsburg,40.71561,-73.94835,0,199,3,10,0.1,1,280
142,32331,sunny cobble hill apartment,139874,sarah,1,cobble hill,40.6857,-73.99183,0,140,2,4,0.04,1,0
143,32363,fully furnished basement apartment,140025,fredah,3,flushing,40.74028,-73.83168,1,140,2,1,0.01,1,1
145,32969,light filled williamsburg apartment,142833,katherine,1,williamsburg,40.71596,-73.93938,0,160,3,11,0.11,1,188
147,33014,nyc zen,143048,paula,2,east village,40.72354,-73.98295,0,195,3,30,0.28,1,248
149,34760,sunny room old historical brooklyn townhouse,149929,obed,1,fort greene,40.69101,-73.97312,1,44,8,27,1.05,5,280
154,36647,private bdrmbathrm new elevator,157798,irene,2,east harlem,40.79295,-73.93997,1,69,2,34,0.32,1,10
156,36934,great location williamsburg,159370,viviana,1,williamsburg,40.71363,-73.96398,0,125,6,27,0.25,1,189
163,40039,luxurious condo dubmo view,171851,henry,1,dumbo,40.70207,-73.98571,1,250,3,14,0.13,1,189
164,40453,charming cozy midtown loft week ends,174025,sylvia,2,upper east side,40.76123,-73.9642,0,250,3,4,0.08,1,365
166,41513,convenient cozy cheap apt manhattan,181167,lorenzo,2,harlem,40.82704,-73.94907,0,80,3,2,0.04,1,0
170,43957,sunny cozy room brklyn townhouse,177536,tessa,1,bushwick,40.70641,-73.91765,1,50,2,47,0.94,1,37
179,45542,clean cozy harlem apartment,202249,campbell,2,harlem,40.82374,-73.9373,0,100,2,18,1.79,1,0
183,45940,bright spacious luxury condo,204724,miyoung,1,williamsburg,40.71627,-73.9587,0,200,4,33,0.58,1,1
184,46544,park slope 15 mins soho,8198,monica,1,park slope,40.67994,-73.97863,0,150,5,52,0.5,1,18
186,46911,large room private brownstone park slope,210746,kathleen r.,1,prospect heights,40.67868,-73.97307,1,120,3,51,0.48,3,250
189,47370,chelsea studio sublet 1 2 months,214287,alex,2,chelsea,40.74031,-73.99999,0,125,3,3,0.03,1,0
190,47926,lux apt times square new building,218404,claudia,2,hell's kitchen,40.76307,-73.99665,0,275,1,41,0.38,1,299
196,51850,f excellentpvt rm,27848,jullett,3,jamaica,40.67252,-73.76597,1,55,2,52,0.49,2,365
197,53137,quiet sunny midtown manhattan apt,240360,marlaine,2,hell's kitchen,40.76244,-73.99271,0,195,5,10,1.01,1,0
198,53196,big roomwasherdryerwifiacjmz,247432,charlotte,1,bedford-stuyvesant,40.69546,-73.93503,1,80,2,11,0.48,1,0
200,53470,clean convenient 2br apartment,204539,mark,3,ridgewood,40.70234,-73.89816,1,140,7,6,0.06,5,365
201,53477,3 floors luxury,204539,mark,3,middle village,40.71546,-73.87854,0,265,7,38,0.38,5,365
203,54453,midtown west large alcove studio,255583,anka,2,hell's kitchen,40.76548,-73.98474,2,105,6,10,0.09,1,363
210,55498,modern comfort art infused landmark brownstone,262138,tami,1,bedford-stuyvesant,40.6829,-73.93549,1,71,2,23,0.22,1,91
214,55982,cozy 2 br sunny fort greene apt,264928,sally,1,fort greene,40.68656,-73.97525,1,68,3,37,0.35,1,0
216,56525,1 bedroom loft w private roof deck,268014,alex,1,greenpoint,40.729,-73.95829,0,195,2,69,0.65,1,58
218,57166,elegant nyc pad,272006,vasili,3,ditmars steinway,40.77185,-73.90502,0,140,2,17,0.16,1,292
222,57740,quiet clean retreat city,275459,i,2,east village,40.73012,-73.99053,0,239,3,7,0.07,1,351
226,58062,south slope green,277394,linda,1,windsor terrace,40.6585,-73.98397,1,135,2,21,0.26,1,272
227,58467,17 flr manhattan views nr subway,279797,dave,2,roosevelt island,40.76193,-73.9501,1,120,7,17,0.3,1,341
228,59014,spacious 1br adorable clean quiet,282927,drica,2,lower east side,40.72052,-73.98589,0,150,3,41,0.39,1,244
230,59642,franklin st flat trendy greenpoint brooklyn,274782,betty,1,greenpoint,40.73401,-73.95967,0,135,2,69,0.67,1,12
231,59709,artistic cozy spacious w patio sleeps 5,186084,ricardo & ashlie,2,chinatown,40.71756,-73.99503,0,250,4,18,0.18,2,265
234,60457,spacious greenwich village apt,99212,jessica,2,greenwich village,40.73194,-73.99474,0,225,5,10,0.1,1,91
237,60673,private roombath luxurious harlem,249372,cynthia,2,harlem,40.81583,-73.94707,1,175,2,1,0.11,1,365
